,title,address,district,latitude,longitude,id
0,مركز الرعاية الصحية القديم آل uraija,7560 abi ath thana al maghribi - Al Uraija Dist.,Al Uraija ,24.6272215990001,46.6635091220001,10100003127
1,والنفل مركز الرعاية الصحية الأولية,4486 abdullah ibn sufyan - Al Nafel Dist.,Al Nafel ,24.7783523029677,46.6846592526384,10100003083
2,المنتزه مركز الرعاية الصحية الأولية,2876 namly - Al Murabba Dist.,Al Murabba ,24.6685265340001,46.7081057150001,10100003021
3,"""البديعة إلى مركز الرعاية الصحية الأولية""",6660 abdul muhsin al faram - Al Badeah Dist.,Al Badeah ,24.618850842,46.680632825,10100003071
4,آل uraija مركز الرعاية الصحية الجديد,3214 al amir musaid ibn abdul rahman ibn faisal rd - West Oraija Dist.,West Oraija ,24.5891531790002,46.606555617,10100003126
5,مركز صحي dawaak,7839 ath thuqba - Al Jazeerah Dist.,Al Jazeerah ,24.6832972210348,46.7968322268354,10100003035
6,attiqah مركز الرعاية الصحية,6311 al amir abdullah ibn abdul rahman ibn faisal - Manfuha Al Jadidah Dist.,Manfuha Al Jadidah ,24.6076246160002,46.7110339880001,10100003005
7,مركز صحي arqah,4069 as sihah - Irqah,Irqah,24.6897991090001,46.6028179840001,10100003142
8,مركز صحي حي فواز,3064 al hareeq - Dirab Dist.,ab ,24.4959371688994,46.6224275764822,10100003058
9,مركز الرعاية الصحية _ العث uraija,3676 rawdat al faras - Middle Oraija Dist.,Middle Oraija ,24.6085810430002,46.6316118060001,10100003128
10,مركز الرعاية الصحية _ الشفاء,3793 nasser bin abdullah al hussein - Al Shifa Dist.,Al Shifa ,24.5568617380001,46.6882112140001,10100003061
11,center_ulaisha الرعاية الصحية,3118 al amir fahd ibn faisal ibn farhan al saud - Olaishah Dist.,Olaishah ,24.6257267830001,46.6860346650001,10100003053
12,مركز الرعاية الصحية _ أم SULAIM,8958 Al Suwais - Al Wisham Dist.,Al Wisham ,24.6393591920001,46.7010528130001,10100003114
13,مركز الرعاية الصحية _ _ uraija النساء,7246 al mallah - West Oraija Dist.,West Oraija ,24.6126660300001,46.605977222,10100003126
14,مركز صحي موناش الرعاية الصحية الأولية حي مركز موناش,7434 at turbah - Al Munisiyah Dist.,Al Munisiyah ,24.8278908891915,46.7859311226392,10100003140
15,مركز الصحة,7117 rammah - Al Muruj Dist.,Al Muruj ,24.7559518446077,46.6744529525812,10100003110
16,مركز صحي قرطبة الرعاية الصحية الأولية حي اليرموك,3557 hasan al jadi - Qurtubah Dist.,Qurtubah ,24.8006495226687,46.7293887054134,10100003101
17,المحمدي مركز الرعاية الصحية الأولية,7369  - Al Muhammadiyah Dist.,Al Muhammadiyah ,24.7327736680621,46.6582597687327,10100003062
18,مركز الرعاية الصحية الأولية _ السويدي,7342 Kaab Bin Zuhair - Al Suwaidi Dist.,Al Suwaidi ,24.593440308,46.660197358,10100003018
19,مركز الرعاية الصحية الأولية _ السليمانية,6986 Jaafar Bin Abi Taleb - Al Sulaimaniyah Dist.,Al Sulaimaniyah ,24.7052332540002,46.6956786730001,10100003063
20,مركز الرعاية الصحية الأولية,3380 uthman al jamal - Al Khaleej Dist.,Al Khaleej ,24.7688582324795,46.789922606568,10100003055
21,مركز الرعاية الصحية الأولية _ سلطانة,6342 Yazeed Bin Mazeed - Sultanah Dist.,Sultanah ,24.5999877280001,46.691541361,10100003069
22,"""مركز الرعاية الصحية الأولية في بديع""",6633 hadbat najd - Dhahrat Al Badeah Dist.,hahrat Al Badeah ,24.5861216480001,46.6325851610001,10100003091
23,مركز الرعاية الصحية الأولية _ uraija AL قديم,2665 maklat - Al Uraija Dist.,Al Uraija ,24.6270891590001,46.6638228730001,10100003127
24,مركز الرعاية الصحية الأولية,3867 al balqa - Al Munisiyah Dist.,Al Munisiyah ,24.8280564996775,46.7859177976575,10100003140
