,title,address,district,latitude,longitude,id
0,مسجد,7619 Baghdad - Al Yarmuk Dist.,Al Yarmuk ,24.8057950955403,46.7646884930764,10100003139
1,مسجد,6485 ibn yasmini - Al Aziziyah Dist.,Al Aziziyah ,24.5790823022925,46.7886825295095,10100003029
2,مسجد,6480 abi al faraj ad dawadmi - Middle Oraija Dist.,Middle Oraija ,24.6055408640001,46.6156480020001,10100003128
3,مسجد,2921 ad dammam rd - Al Janadriyah Dist.,Al Janadriyah ,24.9106153656415,46.9284835493819,10100003136
4,مسجد,4731 abi al ashbal - Jareer Dist.,Jareer ,24.6874153600978,46.753703437133,10100003048
5,مسجد,3307  - Dhahrat Al Badeah Dist.,hahrat Al Badeah ,24.5942047950002,46.6372390200001,10100003091
6,مسجد,7689 ibn abi al birr - Middle Oraija Dist.,Middle Oraija ,24.6158309170002,46.636588965,10100003128
7,مسجد,2601 al faydhiya - Irqah,Irqah,24.6859791400001,46.5882585610001,10100003142
8,مسجد,6870 ibn tahir - Al Murabba Dist.,Al Murabba ,24.6726072220002,46.7077719810001,10100003021
9,مسجد,6622 al bashair - Al Suwaidi Dist.,Al Suwaidi ,24.5868971440001,46.6641991060002,10100003018
10,مسجد,8820 muhammad ibn abi al azhar - Dhahrat Al Badeah Dist.,hahrat Al Badeah ,24.6066678180001,46.6696845890001,10100003091
11,مسجد,7717 at tarfiyah - Middle Oraija Dist.,Middle Oraija ,24.6160407270001,46.6417556870001,10100003128
12,مسجد,7387 muhammad ibn muqrin - Middle Oraija Dist.,Middle Oraija ,24.6012010900002,46.6205568790001,10100003128
13,مسجد,7993 wag valley - Al Malqa Dist.,Al Malqa ,24.8041685881564,46.6162536514008,10100003145
14,مسجد,4211 khulais - Middle Oraija Dist.,Middle Oraija ,24.6060341890001,46.6368870040001,10100003128
15,مسجد,8057 King Fahd - Al Muruj Dist.,Al Muruj ,24.7462677588669,46.6580946753155,10100003110
16,مسجد,7772 as saharawi - Al Zahrah Dist.,Al Zahrah ,24.5769758280001,46.6581163180002,10100003067
17,مسجد,6577 street no. 314 - Al Munisiyah Dist.,Al Munisiyah ,24.8368136453369,46.7739289380444,10100003140
18,مسجد,4483 al muraqish al asghar - West Oraija Dist.,West Oraija ,24.577551418,46.6004640970001,10100003126
19,مسجد,4206 Belal Bin Rabah - Tuwaiq Dist.,Tuwaiq ,24.5802434020001,46.5514787660001,10100003102
20,مسجد,6679 yusuf ath thaqafi - West Suwaidi Dist.,West Suwaidi ,24.5665261450001,46.627518191,10100003057
21,مسجد,3405 Anas Bin Malek - Al Malqa Dist.,Al Malqa ,24.8078776506404,46.6186208793794,10100003145
22,مسجد,2896 dirab branch rd - Namar Dist.,Namar ,24.562191349,46.6804001740001,10100003060
23,مسجد عبدالله العقيل ووالديه,2993 muhammad al manofi - Al Narjis Dist.,Al Narjis ,24.8795630491403,46.6379960436158,10100003150
24,مسجد,3488 no. 408 - Al Malqa Dist.,Al Malqa ,24.8101860608826,46.6107154545217,10100003145
25,مسجد,4802 Al Shihab Al Tayib - West Oraija Dist.,West Oraija ,24.5968258190001,46.5890821480001,10100003126
26,مسجد,4187 Zarqaa Al Yamama - Al Murabba Dist.,Al Murabba ,24.656589326,46.7101329700001,10100003021
27,مسجد,6725 al makhzumi - Al Yarmuk Dist.,Al Yarmuk ,24.7974800138306,46.7754541799741,10100003139
28,مسجد,8344 al khalifah al mamun - Badr Dist.,Badr ,24.530774396,46.6942745300001,10100003164
29,مسجد,3325 al khuzam - Dirab Dist.,ab ,24.4896676460681,46.6160940659788,10100003058
30,مسجد,3121 as sail al kabir - Al Ghadeer Dist.,Al Ghadeer ,24.7706538297629,46.6498972688913,10100003109
31,مسجد,4201 al ajmi - Shubra Dist.,Shubra ,24.5676799510002,46.6518545430001,10100003066
32,مسجد,7739 abi al fadl ad darir - West Oraija Dist.,West Oraija ,24.588221042,46.5938357950001,10100003126
33,مسجد,8250 al wafra - Al Zahrah Dist.,Al Zahrah ,24.581324147,46.6548479970002,10100003067
34,مسجد,4131 southern ring rd - Namar Dist.,Namar ,24.5661615830001,46.6547153340001,10100003060
35,abdullah bin abbas,may allah be pleased with him mosqu,Street': 'ahamad bin al khattab,UnitNumber': Non,atitude': '24.5631017918352,PKAddressID': '1451532866181
36,مسجد,3589 al mashtal - Al Hazm Dist.,Al Hazm ,24.546764094,46.649177862,10100003019
37,مسجد,6466 la jamuh - Tuwaiq Dist.,Tuwaiq ,24.589679845,46.5553116880001,10100003102
38,مسجد,6998 ammarat ibn safwan - West Suwaidi Dist.,West Suwaidi ,24.5693098180001,46.6335920000001,10100003057
39,مسجد,4445 as sihah - Irqah,Irqah,24.6905866320001,46.6065500930001,10100003142
40,مسجد,3329 baydah - Al Aqeeq Dist.,Al Aqeeq ,24.7741506203339,46.6343060219198,10100003107
41,مسجد,4117 jabal as suda - Middle Oraija Dist.,Middle Oraija ,24.613158435,46.649344872,10100003128
42,مسجد,3625 prince abdullah ibn saud ibn abdullah ath thunayy - Al Sahafah Dist.,Al Sahafah ,24.8073941512522,46.6395162033762,10100003123
