,title,address,district,latitude,longitude,id
0,al hizam park,7144 Al Maeer Sattam Bin Abdulaziz - Al Rafeah Dist.,Al Rafeah ,24.6357319790001,46.673133527,10100003015
1,al rwabi third park,3528 Al Zubair Bin Al Awwam - Al Rawabi Dist.,Al Rawabi ,24.6940664167773,46.7885719700167,10100003089
2,al dirwazah park and restauran,2553 ath thumamah rd - Al Munisiyah Dist.,Al Munisiyah ,24.8479840250001,46.765687976,10100003140
3,al khayam park,2553 ath thumamah rd - Al Munisiyah Dist.,Al Munisiyah ,24.846770564,46.7657118630001,10100003140
4,"""al uraija children's park""",7757 shubah al anbari - West Oraija Dist.,West Oraija ,24.592378733,46.6153523790001,10100003126
5,al ghadir park,4053 al balidah - Al Ghadeer Dist.,Al Ghadeer ,24.7820689374639,46.6593464742666,10100003109
6,"""al lulu park _ shaik ra'ad special park""",8112  - Namar Dist.,Namar ,24.5674534590001,46.6676774380001,10100003060
7,al wadi park,7001 sultanah - Al Badeah Dist.,Al Badeah ,24.6128320040001,46.6849564660001,10100003071
8,al haeer park,8008  - Al Ghannamiyah Dist.,Al Ghannamiyah ,24.4605509279613,46.8009684745582,10100003162
9,al rimal parking,3219  - West Oraija Dist.,West Oraija ,24.5839914520002,46.6068958570001,10100003126
10,alkhiamah theme park,3284 Al Shaikh Abdullah Al Anqari - Al Woroud Dist.,Al Woroud ,24.7252280676593,46.6800448826906,10100003026
11,alriyadh park hotel apartments,7021 al khaznzh - Ishbiliyah Dist.,Ishbiliyah ,24.7854195338402,46.781754384923,10100003137
12,alaishah park,2276 Hudhayfah Bin Al Yaman - Olaishah Dist.,Olaishah ,24.6295247520002,46.6776635100001,10100003053
13,al-mounisya park,4566 ad dammam rd - Al Munisiyah Dist.,Al Munisiyah ,24.8155796529975,46.7748512659572,10100003140
14,car parking,7037 Amr Al Damri Street - Assafarat Dist.,Assafarat ,24.676754015107,46.6249960035966,10100003099
15,alhamra park,3162 al bustani - Al Hamra Dist.,Al Hamra ,24.7863601334846,46.7600332404333,10100003129
16,alrabwah park,6610 al amir muhammad ibn abdul aziz al as saud - Al Rabwah Dist.,Al Rabwah ,24.6938912169804,46.7580634046284,10100003047
17,alhamra park,7527 turki ibn hamid - Al Hamra Dist.,Al Hamra ,24.7814881870753,46.7613074418019,10100003129
18,alnuzha park,7121 al qadsiyyah - Al Nuzha Dist.,Al Nuzha ,24.7542449195408,46.7151074390407,10100003025
19,car parking,7730 dareen street - Assafarat Dist.,Assafarat ,24.6833298935425,46.6290767792215,10100003099
20,car parking,3102 samhah street - Assafarat Dist.,Assafarat ,24.6724281549983,46.623511219929,10100003099
21,car parking,3929 attawqi street - Assafarat Dist.,Assafarat ,24.6774589611607,46.6315083137733,10100003099
22,car parking,3143 tathleeth street - Assafarat Dist.,Assafarat ,24.6693024256202,46.6150146901413,10100003099
23,car parking,3238 tathleeth street - Assafarat Dist.,Assafarat ,24.669914422991,46.6158617782596,10100003099
24,car parking,3184 tathleeth street - Assafarat Dist.,Assafarat ,24.6699796202226,46.6155500688679,10100003099
25,car parking,7366 arradaef street - Assafarat Dist.,Assafarat ,24.6799796124464,46.628039334223,10100003099
26,car parking,7485 dareen street - Assafarat Dist.,Assafarat ,24.6813382846807,46.6306258083364,10100003099
27,car parking,7272 alwaha street - Assafarat Dist.,Assafarat ,24.6677644114268,46.6172384848252,10100003099
28,car parking,3586 tathleeth street - Assafarat Dist.,Assafarat ,24.6719013423319,46.6191877392814,10100003099
29,car parking,3653 tathleeth street - Assafarat Dist.,Assafarat ,24.6684190011495,46.6199931868319,10100003099
30,car parking,3493 tathleeth street - Assafarat Dist.,Assafarat ,24.6676373482089,46.6185500437318,10100003099
31,garnet minor park,3812 at tahliyah - Al Aqeeq Dist.,Al Aqeeq ,24.7832775379273,46.6299812558771,10100003107
32,car parking,6907 abdullah  al sahmi street - Assafarat Dist.,Assafarat ,24.6757903333996,46.6232542381402,10100003099
33,"""children's park distric","hbilia""",Street': 'as sammak,UnitNumber': Non,atitude': '24.7891592604806,PKAddressID': '1322668703774
34,granada business park - east ga,7263  - Al Shohda Dist.,Al Shohda ,24.7878093089707,46.7293780135197,10100003016
35,car parking,7930 abdullah  al sahmi street - Assafarat Dist.,Assafarat ,24.6852620158793,46.6235659475323,10100003099
