,title,address,district,latitude,longitude,id,gender,type
0,192 مدرسة,6786 talal abdulrahman muhammad al mani - Al Shohda Dist.,Al Shohda ,24.7831865722552,46.7383892193967,10100003016,بنات,متوسط
1,164 مدرسة,3908 al bandaria - Al Hamra Dist.,Al Hamra ,24.7729674891762,46.749396429533,10100003129,بنات,إبتدائي
2,100 intermediate school girls,3754 ahmad ibn aqil - King Faisal Dist.,King Faisal ,24.7496170662318,46.7763934475282,10100003027,بنات,متوسط
3,21 primary schoo,7088 an nabaqin - Al Yarmuk Dist.,Al Yarmuk ,24.8085710335466,46.7873121296599,10100003139,بنات,إبتدائي
4,مدرسة 192 ,6757 ad duah - Al Shohda Dist.,Al Shohda ,24.7829402980412,46.7377467649251,10100003016,بنات,إبتدائي
5,190 intermediate school girls,6612 as sabihiyyah - Ishbiliyah Dist.,Ishbiliyah ,24.7817738497527,46.7884428783457,10100003137,بنات,متوسط
6,273 مدرسة ابتدائية,2568 safaqis - Ghirnatah Dist.,Ghirnatah ,24.7955331523553,46.745738035145,10100003155,بنات,إبتدائي
7,164 middle school girls alyermuk,3884 an nuwibah - Al Yarmuk Dist.,Al Yarmuk ,24.8071787315967,46.7945255450144,10100003139,بنات,متوسط
8,229 primary school girls,7820 amr ash shaybani - Al Quds Dist.,Al Quds ,24.7566027411829,46.7466565776051,10100003081,بنات,إبتدائي
9,370  primary school girls,4270 sulayman ibn mahmud - Ishbiliyah Dist.,Ishbiliyah ,24.7812827290009,46.7885551889053,10100003137,بنات,إبتدائي
10,مدرسة 91 ,3619 husain mufarrah hantul - Al Shohda Dist.,Al Shohda ,24.7835113686825,46.7382143290127,10100003016,بنات,جميع المراحل
11,مدرسة 91,4357 al marikha - Al Manar Dist.,Al Manar ,24.7268568515612,46.8066228975518,10100003079,بنين,ثانوي
12,adwaa al hedaya schools,2866 Al Ghat - Al Taawun Dist.,Al Taawun ,24.7783017358029,46.6949768879782,10100003085,كلاهما,جميع المراحل
13,مدرسة عبد الله خياط,7594 raghbah - Al Woroud Dist.,Al Woroud ,24.7280629920518,46.6780944484184,10100003026,بنين,ثانوي
