id,district,title
10100003005,Manfuha Al Jadidah ,3
10100003007,Al Dirah ,4
10100003008,East Umm Al Hamam ,2
10100003009,Al Sharafiyah ,8
10100003011,North Mathar ,11
10100003012,West Umm Al Hamam ,16
10100003013,Al Rahmaniyah ,2
10100003015,Al Rafeah ,2
10100003016,Al Shohda ,4
10100003017,King Fahd ,6
10100003018,Al Suwaidi ,7
10100003020,Utayqah ,5
10100003021,Al Murabba ,9
10100003024,Al Mursalat ,2
10100003025,Al Nuzha ,4
10100003026,Al Woroud ,11
10100003027,King Faisal ,11
10100003029,Al Aziziyah ,3
10100003035,Al Jazeerah ,1
10100003036,Al Saadah ,1
10100003037,Al Nasiriyah ,1
10100003042,Al Wahah ,1
10100003047,Al Rabwah ,4
10100003048,Jareer ,4
10100003051,Al Malaz ,8
10100003053,Olaishah ,4
10100003054,Al Nahdah ,5
10100003055,Al Khaleej ,13
10100003056,Al Dhubbat ,1
10100003057,West Suwaidi ,9
10100003058,ab ,1
10100003060,Namar ,3
10100003061,Al Shifa ,8
10100003062,Al Muhammadiyah ,2
10100003063,Al Sulaimaniyah ,23
10100003064,Al Marwah ,1
10100003066,Shubra ,3
10100003067,Al Zahrah ,4
10100003069,Sultanah ,4
10100003070,Al Yamamah ,1
10100003071,Al Badeah ,1
10100003073,Al Qadisiyah ,2
10100003074,Al Safa ,2
10100003075,Al Olaya ,35
10100003076,Al Duraihemiyah ,1
10100003078,Al Salam ,2
10100003079,Al Manar ,1
10100003080,East Naseem ,4
10100003081,Al Quds ,15
10100003082,Al Wadi ,1
10100003083,Al Nafel ,4
10100003084,Al Maseef ,12
10100003085,Al Taawun ,1
10100003086,Al Ezdihar ,2
10100003087,Al Andalus ,3
10100003088,Al Rawdah ,1
10100003089,Al Rawabi ,4
10100003090,Al Rayan ,4
10100003091,hahrat Al Badeah ,10
10100003101,Qurtubah ,10
10100003102,Tuwaiq ,9
10100003104,Al Rabie ,3
10100003105,Al Mughrazat ,3
10100003107,Al Aqeeq ,3
10100003108,Al Nakheel ,3
10100003109,Al Ghadeer ,3
10100003110,Al Muruj ,7
10100003113,Al Shumaisi ,31
10100003114,Al Wisham ,5
10100003122,Umm Saleem ,5
10100003123,Al Sahafah ,7
10100003125,Al Raed ,4
10100003126,West Oraija ,28
10100003127,Al Uraija ,3
10100003128,Middle Oraija ,24
10100003129,Al Hamra ,7
10100003130,Al Dar Al Baida ,1
10100003132,Al Zahra ,2
10100003133,Al Fayha ,4
10100003134,Al Mutamarat ,1
10100003136,Al Janadriyah ,2
10100003137,Ishbiliyah ,6
10100003139,Al Yarmuk ,20
10100003140,Al Munisiyah ,19
10100003142,Irqah,1
10100003144,Hitteen ,1
10100003145,Al Malqa ,12
10100003146,Al Qairawan ,3
10100003147,Al Yasmeen ,4
10100003148,Al Arid ,10
10100003149,King Khalid International Airpo,4
10100003150,Al Narjis ,9
10100003153,Al Rimal ,2
10100003155,Ghirnatah ,5
10100003159,Al Haer ,1
10100003164,Badr ,5
10100003167,West Naseem ,15
