id,district,title
-1,,1
10100003002,Al Namudhajiyah ,9
10100003003,Al Jarradiyah ,13
10100003006,Al Fakhiriyah ,4
10100003007,Al Dirah ,19
10100003008,East Umm Al Hamam ,12
10100003009,Al Sharafiyah ,6
10100003011,North Mathar ,22
10100003012,West Umm Al Hamam ,17
10100003013,Al Rahmaniyah ,6
10100003014,Laban ,5
10100003015,Al Rafeah ,4
10100003016,Al Shohda ,5
10100003017,King Fahd ,6
10100003018,Al Suwaidi ,29
10100003019,Al Hazm ,11
10100003020,Utayqah ,10
10100003021,Al Murabba ,16
10100003022,Al Falah ,12
10100003023,Al Nada ,3
10100003024,Al Mursalat ,5
10100003025,Al Nuzha ,6
10100003026,Al Woroud ,3
10100003027,King Faisal ,17
10100003029,Al Aziziyah ,31
10100003035,Al Jazeerah ,3
10100003036,Al Saadah ,5
10100003037,Al Nasiriyah ,10
10100003041,King Abdullah ,4
10100003042,Al Wahah ,6
10100003043,Salahuddin ,3
10100003045,Al Wizarat ,4
10100003047,Al Rabwah ,22
10100003048,Jareer ,5
10100003049,Al Mathar ,2
10100003051,Al Malaz ,7
10100003053,Olaishah ,9
10100003054,Al Nahdah ,1
10100003055,Al Khaleej ,16
10100003057,West Suwaidi ,30
10100003058,ab ,9
10100003059,Ohod ,3
10100003060,Namar ,15
10100003061,Al Shifa ,40
10100003062,Al Muhammadiyah ,1
10100003063,Al Sulaimaniyah ,13
10100003064,Al Marwah ,10
10100003065,Okaz ,3
10100003066,Shubra ,27
10100003067,Al Zahrah ,34
10100003068,Siyah ,3
10100003069,Sultanah ,21
10100003070,Al Yamamah ,1
10100003071,Al Badeah ,16
10100003072,Al Masani ,1
10100003073,Al Qadisiyah ,1
10100003075,Al Olaya ,25
10100003076,Al Duraihemiyah ,4
10100003078,Al Salam ,8
10100003079,Al Manar ,9
10100003080,East Naseem ,14
10100003081,Al Quds ,27
10100003082,Al Wadi ,7
10100003083,Al Nafel ,3
10100003084,Al Maseef ,5
10100003085,Al Taawun ,2
10100003086,Al Ezdihar ,12
10100003087,Al Andalus ,5
10100003088,Al Rawdah ,9
10100003089,Al Rawabi ,11
10100003090,Al Rayan ,15
10100003091,hahrat Al Badeah ,40
10100003097,ahiyat Namar ,6
10100003099,Assafarat ,2
10100003101,Qurtubah ,21
10100003102,Tuwaiq ,56
10100003104,Al Rabie ,5
10100003105,Al Mughrazat ,11
10100003107,Al Aqeeq ,9
10100003108,Al Nakheel ,12
10100003109,Al Ghadeer ,6
10100003110,Al Muruj ,6
10100003113,Al Shumaisi ,10
10100003114,Al Wisham ,4
10100003121,Al Futah ,6
10100003122,Umm Saleem ,10
10100003123,Al Sahafah ,9
10100003125,Al Raed ,5
10100003126,West Oraija ,81
10100003127,Al Uraija ,11
10100003128,Middle Oraija ,46
10100003129,Al Hamra ,26
10100003130,Al Dar Al Baida ,13
10100003133,Al Fayha ,9
10100003134,Al Mutamarat ,5
10100003136,Al Janadriyah ,1
10100003137,Ishbiliyah ,32
10100003139,Al Yarmuk ,24
10100003140,Al Munisiyah ,25
10100003141,Al Khuzama ,8
10100003142,Irqah,11
10100003143,hahrat Laban ,4
10100003144,Hitteen ,13
10100003145,Al Malqa ,41
10100003146,Al Qairawan ,5
10100003147,Al Yasmeen ,25
10100003148,Al Arid ,10
10100003149,King Khalid International Airpo,7
10100003150,Al Narjis ,12
10100003151,Imam Muhammed Bin Saud Islamic University,3
10100003153,Al Rimal ,8
10100003155,Ghirnatah ,6
10100003159,Al Haer ,2
10100003163,Oraid ,1
10100003164,Badr ,29
10100003166,King Saud University,1
10100003167,West Naseem ,24
PKAddressID': '1451532866181,Street': 'ahamad bin al khattab,1
