id,district,title
10100003015,Al Rafeah ,1
10100003016,Al Shohda ,2
10100003025,Al Nuzha ,1
10100003026,Al Woroud ,1
10100003045,Al Wizarat ,1
10100003047,Al Rabwah ,2
10100003053,Olaishah ,1
10100003060,Namar ,1
10100003071,Al Badeah ,1
10100003082,Al Wadi ,1
10100003083,Al Nafel ,1
10100003088,Al Rawdah ,2
10100003089,Al Rawabi ,1
10100003101,Qurtubah ,1
10100003105,Al Mughrazat ,1
10100003107,Al Aqeeq ,3
10100003109,Al Ghadeer ,1
10100003126,West Oraija ,1
10100003128,Middle Oraija ,1
10100003129,Al Hamra ,2
10100003137,Ishbiliyah ,2
10100003140,Al Munisiyah ,1
10100003153,Al Rimal ,1
10100003159,Al Haer ,1
10100003162,Al Ghannamiyah ,1
PKAddressID': '1322668703774,Street': 'as sammak,1
PKAddressID': '1326130066323,Street': 'al imam abdullah ibn saud ibn abdul aziz rd,1
