id,district,title
10100003003,Al Jarradiyah ,2
10100003005,Manfuha Al Jadidah ,5
10100003007,Al Dirah ,6
10100003008,East Umm Al Hamam ,9
10100003009,Al Sharafiyah ,2
10100003011,North Mathar ,12
10100003012,West Umm Al Hamam ,11
10100003013,Al Rahmaniyah ,5
10100003016,Al Shohda ,10
10100003017,King Fahd ,7
10100003018,Al Suwaidi ,19
10100003019,Al Hazm ,1
10100003020,Utayqah ,6
10100003021,Al Murabba ,8
10100003022,Al Falah ,3
10100003023,Al Nada ,2
10100003024,Al Mursalat ,2
10100003025,Al Nuzha ,9
10100003026,Al Woroud ,15
10100003027,King Faisal ,12
10100003028,2nd Industrial City,1
10100003029,Al Aziziyah ,30
10100003030,Al Mansurah ,7
10100003034,Al Khalidiyah ,1
10100003035,Al Jazeerah ,3
10100003036,Al Saadah ,4
10100003037,Al Nasiriyah ,2
10100003042,Al Wahah ,3
10100003045,Al Wizarat ,12
10100003047,Al Rabwah ,13
10100003048,Jareer ,2
10100003049,Al Mathar ,1
10100003050,Al Salhiyah ,1
10100003051,Al Malaz ,6
10100003053,Olaishah ,2
10100003054,Al Nahdah ,7
10100003055,Al Khaleej ,15
10100003056,Al Dhubbat ,1
10100003057,West Suwaidi ,13
10100003058,ab ,3
10100003060,Namar ,8
10100003061,Al Shifa ,18
10100003062,Al Muhammadiyah ,6
10100003063,Al Sulaimaniyah ,15
10100003064,Al Marwah ,2
10100003065,Okaz ,1
10100003066,Shubra ,11
10100003067,Al Zahrah ,9
10100003068,Siyah ,2
10100003069,Sultanah ,10
10100003070,Al Yamamah ,3
10100003071,Al Badeah ,9
10100003073,Al Qadisiyah ,1
10100003075,Al Olaya ,40
10100003076,Al Duraihemiyah ,2
10100003078,Al Salam ,4
10100003079,Al Manar ,1
10100003080,East Naseem ,12
10100003081,Al Quds ,9
10100003082,Al Wadi ,4
10100003083,Al Nafel ,5
10100003084,Al Maseef ,5
10100003085,Al Taawun ,7
10100003086,Al Ezdihar ,4
10100003087,Al Andalus ,4
10100003088,Al Rawdah ,16
10100003089,Al Rawabi ,13
10100003090,Al Rayan ,10
10100003091,hahrat Al Badeah ,18
10100003092,Al Nadheem ,2
10100003101,Qurtubah ,17
10100003102,Tuwaiq ,19
10100003103,Al Awaly ,1
10100003104,Al Rabie ,9
10100003105,Al Mughrazat ,3
10100003106,Al Sulay ,2
10100003107,Al Aqeeq ,7
10100003108,Al Nakheel ,4
10100003109,Al Ghadeer ,4
10100003110,Al Muruj ,10
10100003112,Thulaim ,1
10100003113,Al Shumaisi ,13
10100003114,Al Wisham ,5
10100003116,Al Dubiyah ,7
10100003121,Al Futah ,1
10100003122,Umm Saleem ,8
10100003123,Al Sahafah ,21
10100003125,Al Raed ,3
10100003126,West Oraija ,25
10100003128,Middle Oraija ,14
10100003129,Al Hamra ,8
10100003130,Al Dar Al Baida ,14
10100003132,Al Zahra ,2
10100003133,Al Fayha ,7
10100003136,Al Janadriyah ,4
10100003137,Ishbiliyah ,23
10100003139,Al Yarmuk ,25
10100003140,Al Munisiyah ,18
10100003142,Irqah,1
10100003143,hahrat Laban ,11
10100003144,Hitteen ,6
10100003145,Al Malqa ,14
10100003147,Al Yasmeen ,9
10100003148,Al Arid ,2
10100003149,King Khalid International Airpo,2
10100003150,Al Narjis ,6
10100003153,Al Rimal ,2
10100003155,Ghirnatah ,9
10100003164,Badr ,21
10100003166,King Saud University,3
10100003167,West Naseem ,15
10100003169,Al Nadwah ,3
10100003190,Al Bayan ,1
